Year,Week,Month,Week Ending,Truck Visits
2022,Week 1,January,1/8/22,58200
2022,Week 2,January,1/15/22,73700
2022,Week 3,January,1/22/22,74000
2022,Week 4,January,1/29/22,73000
2022,Week 5,February,2/5/22,66000
2022,Week 6,February,2/12/22,72000
2022,Week 7,February,2/19/22,74900
2022,Week 8,February,2/26/22,75000
2022,Week 9,March,3/5/22,77000
2022,Week 10,March,3/12/22,75200
2022,Week 11,March,3/19/22,75500
2022,Week 12,March,3/26/22,75200
2022,Week 13,April,4/2/22,74000
2022,Week 14,April,4/9/22,74800
2022,Week 15,April,4/16/22,74400
2022,Week 16,April,4/23/22,74300
2022,Week 17,April,4/30/22,74200
2022,Week 18,May,5/7/22,74250
2022,Week 19,May,5/14/22,76000
2022,Week 20,May,5/21/22,75100
2022,Week 21,May,5/28/22,77000
2022,Week 22,June,6/4/22,64000
2022,Week 23,June,6/11/22,77000
2022,Week 24,June,6/18/22,76700
2022,Week 25,June,6/25/22,76500
2022,Week 26,July,7/2/22,75100
2022,Week 27,July,7/9/22,56000
2022,Week 28,July,7/16/22,73000
2022,Week 29,July,7/23/22,72500
2022,Week 30,July,7/30/22,73000
2022,Week 31,August,8/6/22,72000
2022,Week 32,August,8/13/22,71629
2022,Week 33,August,8/21/22,73148
2022,Week 34,August,8/28/22,74634
2022,Week 35,September,9/4/22,75169
2022,Week 36,September,9/11/22,61343
2022,Week 37,September,9/18/22,78025
2022,Week 38,September,9/25/22,77805
2022,Week 39,October,10/2/22,79726
2022,Week 40,October,10/9/22,74187
2022,Week 41,October,10/16/22,74461
2022,Week 42,October,10/23/22,77509
2022,Week 43,October,10/30/22,77350
2022,Week 44,November,11/6/22,78013
2022,Week 45,November,11/13/22,57509
2022,Week 46,November,11/20/22,76875
2022,Week 47,November,11/27/22,57299
2022,Week 48,December,12/4/22,75200
2022,Week 49,December,12/11/22,70857
2022,Week 50,December,12/18/22,65780
2022,Week 51,December,12/25/22,63058
2022,Week 52,December,1/1/23,51744
2023,Week 01,January,1/8/23,57541
2023,Week 02,January,1/15/23,77333
2023,Week 03,January,1/22/23,59150
2023,Week 04,January,1/29/23,68607
2023,Week 05,February,2/5/23,61965
2023,Week 06,February,2/12/23,61506
2023,Week 07,February,2/19/23,57381
2023,Week 08,February,2/26/23,60662
